,ID_Improved,Student,Test Run,Heuristic
0,39.285714285714285,38.57142857142857,1,overlapping
1,42.857142857142854,44.28571428571429,2,overlapping
2,44.28571428571429,44.28571428571429,3,overlapping
3,39.285714285714285,36.42857142857143,4,overlapping
4,42.142857142857146,34.285714285714285,5,overlapping
5,37.857142857142854,41.42857142857143,6,overlapping
6,45.714285714285715,42.142857142857146,7,overlapping
7,38.57142857142857,44.28571428571429,8,overlapping
8,45.0,46.42857142857143,9,overlapping
9,42.857142857142854,40.0,10,overlapping
